1;90
90;2
2;3
3;4
4;5
5;6
6;7
7;8
8;91
91;9
10;11
11;12
12;13
13;14
14;15
15;16
16;17
17;18
19;20
20;21
21;22
22;23
23;24
24;25
25;26
26;27
28;29
29;30
30;31
31;32
32;33
33;34
34;35
35;36
37;38
38;39
39;40
40;41
41;42
42;43
43;44
44;45
46;47
47;48
48;49
49;50
50;51
51;52
52;53
53;54
55;56
56;57
57;58
58;59
59;60
60;61
61;62
62;63
64;65
65;66
66;67
67;68
68;69
69;70
70;71
71;72
73;92
92;74
74;75
75;76
76;77
77;78
78;79
79;80
80;93
93;81
1;94
94;10
10;19
19;28
28;37
37;46
46;55
55;64
64;95
95;73
2;11
11;20
20;29
29;38
38;47
47;56
56;65
65;74
3;12
12;21
21;30
30;39
39;48
48;57
57;66
66;75
4;13
13;22
22;31
31;40
40;49
49;58
58;67
67;76
5;14
14;23
23;32
32;41
41;50
50;59
59;68
68;77
6;15
15;24
24;33
33;42
42;51
51;60
60;69
69;78
7;16
16;25
25;34
34;43
43;52
52;61
61;70
70;79
8;17
17;26
26;35
35;44
44;53
53;62
62;71
71;80
9;96
96;18
18;27
27;36
36;45
45;54
54;63
63;72
72;97
97;81
90;82
82;94
2;83
83;10
91;86
86;96
8;87
87;18
92;89
89;95
74;88
88;64
93;85
85;97
80;84
84;72
1;82
82;83
83;11
11;21
21;31
31;41
41;51
51;61
61;71
71;84
84;85
85;81
9;86
86;87
87;17
17;25
25;33
33;41
41;49
49;57
57;65
65;88
88;89
89;73
98;1
99;94
100;10
101;19
102;28
103;37
104;46
105;55
106;64
107;95
108;73
109;9
110;96
111;18
112;27
113;36
114;45
115;54
116;63
117;72
118;97
119;81
98;99
99;100
100;101
101;102
102;103
103;104
104;105
105;106
106;107
107;108
109;110
110;111
111;112
112;113
113;114
114;115
115;116
116;117
117;118
118;119
90;120
2;121
3;122
4;123
5;124
6;125
7;126
8;127
91;128
92;129
74;130
75;131
76;132
77;133
78;134
79;135
80;136
93;137
99;138
100;139
101;140
102;141
103;142
104;143
105;144
106;145
107;146
110;147
111;148
112;149
113;150
114;151
115;152
116;153
117;154
118;155
1;156
9;157
73;158
81;159
98;160
109;161
108;162
119;163
